Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972,valid,2,0.029,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.005,0,0.001,3,1,3,1,0,0,N/A,1,2,N/A,0.91,0.995,59956
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_4481,valid,2,0.039,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.006,0,0.003,3,1,3,1,0,0,N/A,1,2,N/A,0.91,0.995,61928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e7_25_e8_3171,valid,2,0.029,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.004,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.91,0.91,61840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3,valid,2,0.051,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.008,0.008,0.001,0.002,8,4,7,2,0,0,N/A,3,2,N/A,1.28,1.02,59736
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783,valid,2,0.036,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.008,0,0.001,5,3,5,0,0,0,N/A,2,2,N/A,1.181,1.093,59824
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755,valid,2,0.036,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.008,0,0.001,4,1,3,0,0,0,N/A,2,1,N/A,1.181,0.912,59688
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e2_158,valid,2,0.054,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.007,0,0.002,8,4,7,2,0,0,N/A,3,2,N/A,1.28,1.02,60008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e3_511,valid,2,0.043,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.01,0,0.001,4,1,3,0,0,0,N/A,2,1,N/A,1.181,0.912,59676
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e2_5343_e1_988,valid,2,0.048,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.007,0,0.002,8,4,7,2,0,0,N/A,3,2,N/A,1.28,1.02,59856
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_3846,valid,2,0.034,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.007,0,0.001,5,3,5,0,0,0,N/A,2,2,N/A,1.181,1.001,59992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e1_2288,valid,2,0.036,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.007,0.001,0.001,5,3,5,0,0,0,N/A,2,2,N/A,1.181,1.093,61904
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e2_3135,valid,2,0.036,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.007,0,0.001,5,3,5,0,0,0,N/A,2,2,N/A,1.181,1.001,59912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6,valid,2,0.027,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0.001,0.001,4,2,3,0,0,0,N/A,2,1,N/A,0.642,0.387,57640
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6_e7_5046_e7_3623,valid,2,0.036,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.004,1,0,1,0,0,0,N/A,1,1,N/A,0.45,0.387,59796
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7,valid,2,0.043,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.004,0,0.002,8,4,6,1,0,0,N/A,4,2,N/A,0.804,0.535,57696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e2_5844,valid,2,0.042,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.004,0.001,0.002,8,4,6,1,0,0,N/A,4,2,N/A,0.804,0.535,57700
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e3_2640,valid,2,0.053,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.004,0.001,0.002,8,4,6,1,0,0,N/A,4,2,N/A,0.804,0.535,57676
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e7_3157_e2_2082,valid,2,0.07,3,21,0,0,0,N/A,N/A,N/A,N/A,N/A,0.012,0.007,0.001,0.004,14,9,13,4,0,0,N/A,6,4,N/A,0.9,0.937,57924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9,valid,2,0.042,2,17,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.004,0.001,0.002,10,7,10,2,0,0,N/A,4,3,N/A,0.728,0.604,57896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843,valid,2,0.047,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.004,0,0.002,9,5,8,3,0,0,N/A,4,3,N/A,0.728,0.604,57700
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e1_5434,valid,2,0.03,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.001,4,2,3,0,0,0,N/A,2,1,N/A,0.638,0.383,59756
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e2_1145,valid,2,0.028,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.638,0.383,57644
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e3_5316,valid,2,0.034,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.634,0.383,57616
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e7_2225,valid,2,0.044,2,14,0,0,0,N/A,N/A,N/A,N/A,N/A,0.008,0.004,0,0.002,6,3,6,1,0,0,N/A,3,3,N/A,0.717,0.604,59692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all,valid,2,0.076,4,28,0,0,0,N/A,N/A,N/A,N/A,N/A,0.013,0.011,0.001,0.004,15,8,14,1,0,0,N/A,7,6,N/A,1.51,1.415,61896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e1_1759,valid,2,0.094,5,32,0,0,0,N/A,N/A,N/A,N/A,N/A,0.018,0.012,0.001,0.005,18,8,15,2,0,0,N/A,9,6,N/A,1.67,1.414,63860
