Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580,valid,2,0.03,1,9,0,0,0,0,0,0,0,0,0.003,0.005,0,0.002,3,1,3,1,1,0,1,1,2,6.268,0.91,0.995,0,0.021,1,0,0,59584
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972,valid,2,0.03,1,9,0,0,0,0,0,0,0,0,0.003,0.005,0,0.002,3,1,3,1,1,0,1,1,2,6.264,0.91,0.995,0,0.021,1,0,0,59824
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_4481,valid,2,0.032,1,9,0,0,0,0,0,0,0,0,0.003,0.005,0,0.002,3,1,3,1,1,0,1,1,2,6.146,0.91,0.995,0,0.021,1,0,0,59788
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e7_25_e8_3171,valid,2,0.029,1,7,0,0,0,0,0,0,0,0,0.004,0.004,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.91,0.91,0,0.021,0,0,0,59688
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3,valid,2,0.05,2,15,0,0,0,0,0,0,0,0,0.007,0.007,0,0.004,8,4,7,2,4,0,1,3,2,6.634,1.28,1.02,1,6.682,2,0,0,59760
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783,valid,2,0.04,1,12,0,0,0,0,0,0,0,0,0.005,0.009,0,0.003,5,3,5,0,4,0,2,2,2,7.937,1.181,1.093,0,0.021,1,0,0,61856
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755,valid,2,0.039,1,11,0,0,0,0,0,0,0,0,0.004,0.008,0,0.003,4,1,3,0,2,0,1,2,1,6.585,1.181,0.912,1,6.257,2,0,0,61772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e2_158,valid,2,0.051,2,15,0,0,0,0,0,0,0,0,0.007,0.007,0,0.004,8,4,7,2,4,0,1,3,2,6.642,1.28,1.02,1,6.69,2,0,0,59804
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e3_511,valid,2,0.043,1,11,0,0,0,0,0,0,0,0,0.004,0.008,0,0.003,4,1,3,0,2,0,1,2,1,6.585,1.181,0.912,1,6.257,2,0,0,59612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e2_5343_e1_988,valid,2,0.049,2,15,0,0,0,0,0,0,0,0,0.006,0.007,0,0.003,8,4,7,2,4,0,1,3,2,6.642,1.28,1.02,1,6.69,2,0,0,59868
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_3846,valid,2,0.036,1,12,0,0,0,0,0,0,0,0,0.005,0.007,0,0.003,5,3,5,0,4,0,2,2,2,7.791,1.181,1.001,0,0.021,1,0,0,59896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e1_2288,valid,2,0.037,1,12,0,0,0,0,0,0,0,0,0.005,0.007,0,0.002,5,3,5,0,4,0,2,2,2,7.937,1.181,1.093,0,0.021,1,0,0,61744
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e2_3135,valid,2,0.037,1,12,0,0,0,0,0,0,0,0,0.006,0.007,0,0.002,5,3,5,0,4,0,2,2,2,7.791,1.181,1.001,0,0.021,1,0,0,59724
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6,valid,2,0.027,1,10,0,0,0,0,0,0,0,0,0.004,0.003,0,0.002,4,2,3,0,2,0,0,2,1,0.021,0.642,0.387,1,6.024,1,0,0,57692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6_e7_5046_e7_3623,valid,2,0.029,1,7,0,0,0,0,0,0,0,0,0.003,0.002,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.45,0.387,0,0.021,0,0,0,57572
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7,valid,2,0.045,2,14,0,0,0,0,0,0,0,0,0.007,0.004,0,0.002,8,4,6,1,3,0,0,4,2,0.021,0.804,0.535,1,6.146,2,1,0,57724
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e2_5844,valid,2,0.044,2,14,0,0,0,0,0,0,0,0,0.008,0.004,0.001,0.003,8,4,6,1,3,0,0,4,2,0.021,0.804,0.535,1,6.015,2,1,0,59900
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e3_2640,valid,2,0.042,2,14,0,0,0,0,0,0,0,0,0.007,0.004,0.001,0.003,8,4,6,1,3,0,0,4,2,0.021,0.804,0.535,1,6.08,2,1,0,59676
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e7_3157_e2_2082,valid,2,0.061,3,20,0,0,0,0,0,0,0,0,0.01,0.006,0.001,0.004,14,9,13,4,6,1,1,6,4,6.666,0.9,0.937,1,6.293,3,0,0,57772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9,valid,2,0.044,2,16,0,0,0,0,0,0,0,0,0.007,0.004,0.001,0.002,10,7,10,2,6,1,1,4,3,6.402,0.728,0.604,0,0.021,2,0,0,59748
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843,valid,2,0.05,2,15,0,0,0,0,0,0,0,0,0.009,0.004,0,0.003,9,5,8,3,3,0,1,4,3,6.395,0.728,0.604,1,6.142,2,0,0,59796
