Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e1_2288,valid,2,0.039,1,14,0,0,0,0,0,0.005,0.009,0,0.003,0,0,0,0.021,1,6.257,4,0,0,59824
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e2_3135,valid,2,0.038,1,14,0,0,0,0,0,0.005,0.008,0,0.003,0,0,0,0.021,1,6.2,4,0,0,61740
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6,valid,2,0.028,1,12,0,0,0,0,0,0.003,0.003,0,0.002,0,0,0,0.021,1,6.176,3,0,0,57596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6_e7_5046_e7_3623,valid,2,0.027,1,7,0,0,0,0,0,0.003,0.002,0,0.001,0,0,0,0.021,0,0.021,0,0,0,57640
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7,valid,2,0.044,2,19,0,0,0,0,0,0.006,0.004,0,0.003,0,0,0,0.021,1,6.402,6,1,0,57468
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e2_5844,valid,2,0.041,2,19,0,0,0,0,0,0.006,0.004,0,0.003,0,0,0,0.021,1,6.33,6,1,0,57608
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e3_2640,valid,2,0.051,2,19,0,0,0,0,0,0.008,0.005,0,0.003,0,0,0,0.021,1,6.336,6,1,0,57708
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e7_3157_e2_2082,valid,2,0.061,3,28,0,0,0,0,0,0.012,0.007,0,0.003,0,0,0,0.021,1,6.498,10,2,0,57560
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9,valid,2,0.048,2,23,0,0,0,0,0,0.008,0.004,0,0.003,0,0,0,0.021,1,6.269,8,1,0,59768
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843,valid,2,0.05,2,21,0,0,0,0,0,0.008,0.004,0,0.002,0,0,0,0.021,1,6.261,7,1,0,61616
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e1_5434,valid,2,0.032,1,12,0,0,0,0,0,0.005,0.003,0,0.002,0,0,0,0.021,1,6.222,3,0,0,57668
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e2_1145,valid,2,0.032,1,12,0,0,0,0,0,0.004,0.003,0,0.002,0,0,0,0.021,1,6.289,3,0,0,57564
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e3_5316,valid,2,0.028,1,12,0,0,0,0,0,0.004,0.003,0,0.002,0,0,0,0.021,1,6.166,3,0,0,57372
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e7_2225,valid,2,0.047,2,21,0,0,0,0,0,0.008,0.005,0,0.003,0,0,0,0.021,1,6.385,7,1,0,57768
