Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e7_188_e7_743,valid,3,0.087,4 1,59,0,0,0,N/A,N/A,N/A,N/A,N/A,0.037,0.009,0.002,0.005,42,29,37,12,0,0,N/A,11,8,N/A,1.912,1.41,32724
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e2_589_e3_349,invalid,2,0.314,10 1,199,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.155,0.044,0.003,0.018,158,135,157,1,0,0,N/A,12,10,N/A,1.96,1.721,33988
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e2_968_e6_236,invalid,2,2.226,19 0,919,0,0,0.012,N/A,N/A,N/A,N/A,N/A,1.177,0.447,0.005,0.112,862,807,848,16,0,0,N/A,23,21,N/A,4.505,4.073,41168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e2_968,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,158724
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_1_e8_725_e3_556,valid,2,0.029,1,8,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.002,0,0.001,3,2,3,1,0,0,N/A,2,1,N/A,0.422,0.142,33132
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_1_e2_627,valid,4,0.374,15 13 9,208,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.17,0.051,0.007,0.027,174,146,166,24,0,0,N/A,34,13,N/A,3.424,2.218,34556
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e1_618_e3_303,invalid,1,0.044,2,22,0,0,0,N/A,N/A,N/A,N/A,N/A,0.015,0.005,0.001,0.003,12,6,10,3,0,0,N/A,6,3,N/A,1.257,0.714,32720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_2_e8_460_e7_43,invalid,0,0.021,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0.001,0,0,0,0,0,0,N/A,0,0,N/A,0,0,31732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e7_626_e1_305,invalid,1,0.023,0,12,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.002,0,0.002,3,2,4,0,0,0,N/A,3,1,N/A,0.832,0.476,32288
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e5_1150,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125140
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e1_190,valid,10,5.255,17 13 8 7 6 5 4 3 1,1903,0.001,0.002,0.062,N/A,N/A,N/A,N/A,N/A,2.327,0.814,0.027,0.51,3493,3119,3202,1868,0,0,N/A,146,28,N/A,12.805,4.516,57892
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_3_e4_987_e3_291,invalid,3,16.522,67 52 12,4209,0,0.001,0.73,N/A,N/A,N/A,N/A,N/A,8.969,3.502,0.017,0.919,4147,4057,4166,128,0,0,N/A,113,56,N/A,11.426,9.039,94772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e8_33,valid,3,0.033,2 1,24,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.005,0.001,0.002,15,12,14,5,0,0,N/A,4,2,N/A,1.089,0.625,32140
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e7_244,valid,12,15.088,129 125 123 120 115 108 97 84 67 44 22,6355,0.003,0.03,0.487,N/A,N/A,N/A,N/A,N/A,6.494,2.848,0.069,1.906,7998,7570,7705,2101,0,0,N/A,368,30,N/A,23.952,3.288,92392
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6,valid,14,13.709,103 101 98 93 89 84 77 69 60 50 38 27 13,6152,0.002,0.009,0.214,N/A,N/A,N/A,N/A,N/A,5.39,2.638,0.073,2.38,8265,7522,7670,2681,0,0,N/A,275,27,N/A,19.409,3.25,91360
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMMER_luke_2_e7_1068_e8_1019,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e3_1068_e2_13,invalid,0,0.012,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0,0,32304
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e2_968_e3_931,valid,3,0.127,9 5,58,0,0,0,N/A,N/A,N/A,N/A,N/A,0.059,0.013,0.003,0.008,88,76,84,56,0,0,N/A,14,6,N/A,2.656,1.509,33908
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2,valid,3,0.048,3 1,37,0,0,0,N/A,N/A,N/A,N/A,N/A,0.018,0.006,0.001,0.003,25,18,21,6,0,0,N/A,5,3,N/A,1.272,0.811,32240
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e3_57,invalid,0,0.01,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0,0,32296
