Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e3_144_e7_523,invalid,0,0.02,,2,0,0,0,0,0,0.001,0.007,0,0.001,0,0,0,0,0,0,0,0,0,57724
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e7_25_e2_5340,invalid,0,0.027,,2,0,0,0,0,0,0.001,0.01,0,0.001,0,0,0,0,0,0,0,0,0,61704
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e7_5406,invalid,0,0.056,,2,0,0,0,0,0,0.001,0.04,0,0.001,0,0,0,0,0,0,0,0,0,72012
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e3_671_e4_147,invalid,1,0.162,0,17,0,0,0,0,0,0.005,0.116,0,0.005,0,0,0,0.021,0,0.021,3,0,0,41020
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e1_3587_e7_872,invalid,0,0.021,,2,0,0,0,0,0,0.001,0.007,0,0.001,0,0,0,0,0,0,0,0,0,57500
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e1_4022_e1_1759,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e1_4783,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e3_4612_e4_3719,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9_e7_1843_e7_2225,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e8_5504_e7_579,invalid,0,0.043,,2,0,0,0,0,0,0.001,0.028,0,0.001,0,0,0,0,0,0,0,0,0,70084
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e7_2574,invalid,0,0.015,,2,0,0,0,0,0,0.001,0.005,0,0.001,0,0,0,0,0,0,0,0,0,37164
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e2_2799_e7_2499,invalid,1,0.102,1,23,0,0,0,0,0,0.007,0.021,0,0.008,0,0,0,0.021,1,6.264,5,0,0,57756
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e3_5422_e1_2288,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e1_1139_e2_2893,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_rt_e3_1770_e2_637,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e1_3233,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_12_e1_4640_e7_128,invalid,0,0.023,,2,0,0,0,0,0,0.001,0.008,0,0.001,0,0,0,0,0,0,0,0,0,57580
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_8_e2_3896_e3_3125,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_11_e1_2450,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e1_1207_e7_156,invalid,0,0.018,,2,0,0,0,0,0,0.001,0.006,0,0.001,0,0,0,0,0,0,0,0,0,39168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_10_e7_919_e2_3192,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e7_25_e8_3171,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e1_4037,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e7_3861_e7_2180,invalid,0,0.021,,2,0,0,0,0,0,0.001,0.006,0,0.001,0,0,0,0,0,0,0,0,0,59512
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e7_2329_e7_3856,invalid,1,0.111,2,21,0,0,0,0,0,0.008,0.023,0,0.007,0,0,0,0.021,0,0.021,2,0,0,59776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e1_4783_e3_511,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e3_3496,invalid,1,93.27,4,55,0,0,0,0,0,0.02,93.116,0.001,0.014,0,0,0,0.021,2,6.346,18,1,0.001,105144
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1a_e2_284_e3_3091,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e3_144_e5_2046,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e7_1909,invalid,0,0.032,,2,0,0,0,0,0,0.001,0.02,0,0.001,0,0,0,0,0,0,0,0,0,39248
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e7_4884,invalid,0,0.023,,2,0,0,0,0,0,0.001,0.008,0,0.001,0,0,0,0,0,0,0,0,0,65852
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e2_3018_e2_936,valid,4,16.21,9 7 4,245,0,0,0.031,0.027,0.024,0.079,15.808,0.002,0.055,85,38,15,28.678,0,0.021,115,0,0,158480
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_u1_e2_3403_e2_957,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e3_671_e2_2131,invalid,1,0.383,2,36,0,0,0,0,0,0.013,0.31,0.001,0.007,0,0,0,0.021,1,5.065,11,1,0.001,48404
