Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_2_e2_876,invalid,0,0.02,N/A,2,0,0,0.001,0.007,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i1_e4_1986,invalid,0,0.012,N/A,2,0,0,0,0.004,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e8_1329_e2_236,invalid,0,0.011,N/A,2,0,0,0.001,0.003,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_r4a,valid,5,98.842,16 13 12 6,789,683,68.582,3.625,89.682,0.003,0.095
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_2_e7_2910_e7_1804,invalid,0,0.015,N/A,2,0,0,0,0.005,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_4_e8_420_e7_572,valid,2,0.03,1,16,8,0.005,0.004,0.006,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all,valid,2,41.027,4,43,26,0.27,0.016,40.96,0.001,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all_e8_251_e1_1852,invalid,0,0.013,N/A,2,0,0,0,0.004,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i4_e7_1017_e6_1132,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_3_e2_819_e6_1459,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e1_1416_e1_1675,invalid,0,0.013,N/A,2,0,0,0.001,0.004,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_1,valid,4,0.117,2 1 0,102,73,0.06,0.02,0.064,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_6_e3_1666_e5_1558,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2_e1_1239_e2_74,invalid,0,0.012,N/A,2,0,0,0.001,0.004,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2_e8_1118_e3_1216,invalid,1,0.062,0,8,0,0,0.002,0.042,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i1_e3_2145,invalid,0,0.013,N/A,2,0,0,0,0.004,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_2_e1_1753_e1_1510,invalid,0,0.023,N/A,2,0,0,0,0.015,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all_e8_251,valid,2,26.684,4,43,26,0.264,0.015,26.626,0.001,0.002
